,Activity,SoraRank,elapsedTime,Current,Drink,Eat,Exercise,Grooming,Pee,Poop,Sleep,Teeth Clean,TimeDiff_Pee,TimeDiff_Exercise,TimeDiff_Poop,TimeDiff_Sleep,TimeDiff_Drink,TimeDiff_Eat,TimeDiff_Grooming,TimeDiff_Teeth Clean,hour,DOW_Friday,DOW_Monday,DOW_Saturday,DOW_Sunday,DOW_Thursday,DOW_Tuesday,DOW_Wednesday
1630,Exercise,3.888888888888889,1.2666666666666666,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,8.35,2.033333333333333,12.183333333333334,4.966666666666667,2.033333333333333,2.2666666666666666,176.48333333333332,0.0,20.266666666666666,0,0,0,0,1,0,0
1631,Pee,3.8,0.23333333333333334,0.0,2.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,2.3333333333333335,2.2666666666666666,12.416666666666666,5.2,2.2666666666666666,2.5,176.71666666666667,0.0,20.5,0,0,0,0,1,0,0
1632,Drink,3.727272727272727,0.03333333333333333,0.0,2.0,2.0,3.0,0.0,2.0,1.0,1.0,0.0,2.3666666666666667,2.3,12.45,5.233333333333333,1.7666666666666666,2.533333333333333,176.75,0.0,20.533333333333335,0,0,0,0,1,0,0
1633,Drink,3.8181818181818183,0.5333333333333333,0.0,3.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,2.9,2.8333333333333335,12.983333333333333,5.766666666666667,0.5333333333333333,3.066666666666667,177.28333333333333,0.0,21.066666666666666,0,0,0,0,1,0,0
1634,Drink,3.625,0.31666666666666665,0.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.216666666666667,3.15,13.3,6.083333333333333,0.31666666666666665,3.3833333333333333,177.6,0.0,21.383333333333333,0,0,0,0,1,0,0
1635,Pee,3.0,9.966666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.85,13.116666666666667,23.266666666666666,16.05,10.283333333333333,13.35,187.56666666666666,0.0,7.35,1,0,0,0,0,0,0
1636,Exercise,4.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.016666666666667,12.25,24.433333333333334,17.216666666666665,11.45,14.516666666666667,188.73333333333332,0.0,8.516666666666667,1,0,0,0,0,0,0
1637,Poop,4.0,0.21666666666666667,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12.233333333333333,12.466666666666667,14.25,17.433333333333334,11.666666666666666,14.733333333333333,188.95,0.0,8.733333333333333,1,0,0,0,0,0,0
1638,Exercise,4.333333333333333,0.06666666666666667,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,12.3,0.2833333333333333,14.316666666666666,13.8,11.733333333333333,14.8,189.01666666666668,0.0,8.8,1,0,0,0,0,0,0
1639,Sleep,4.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,12.3,0.2833333333333333,14.316666666666666,13.8,11.733333333333333,14.8,189.01666666666668,0.0,8.8,1,0,0,0,0,0,0
1640,Eat,4.4,0.2,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,12.5,0.48333333333333334,14.516666666666667,14.0,11.933333333333334,14.266666666666667,189.21666666666667,0.0,9.0,1,0,0,0,0,0,0
1641,Eat,4.333333333333333,0.1,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,12.6,0.5833333333333334,14.616666666666667,14.1,12.033333333333333,0.1,189.31666666666666,0.0,9.1,1,0,0,0,0,0,0
1642,Eat,4.285714285714286,1.0666666666666667,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,13.666666666666666,1.65,15.683333333333334,15.166666666666666,13.1,1.0666666666666667,190.38333333333333,0.0,10.166666666666666,1,0,0,0,0,0,0
1643,Drink,4.125,0.11666666666666667,0.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,13.783333333333333,1.7666666666666666,15.8,15.283333333333333,12.9,1.1833333333333333,190.5,0.0,10.283333333333333,1,0,0,0,0,0,0
1644,Poop,4.222222222222222,0.03333333333333333,0.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,13.816666666666666,1.8,1.5833333333333333,15.316666666666666,12.933333333333334,1.2166666666666666,190.53333333333333,0.0,10.316666666666666,1,0,0,0,0,0,0
1645,Eat,4.222222222222222,0.06666666666666667,0.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,13.883333333333333,1.8666666666666667,1.65,15.383333333333333,13.0,0.21666666666666667,190.6,0.0,10.383333333333333,1,0,0,0,0,0,0
1646,Pee,4.2,0.45,0.0,1.0,4.0,2.0,0.0,0.0,2.0,1.0,0.0,3.4833333333333334,2.316666666666667,2.1,15.833333333333334,13.45,0.6666666666666666,191.05,0.0,10.833333333333334,1,0,0,0,0,0,0
1647,Exercise,4.181818181818182,0.16666666666666666,0.0,1.0,4.0,2.0,0.0,1.0,2.0,1.0,0.0,3.65,2.2,2.2666666666666666,16.0,13.616666666666667,0.8333333333333334,191.21666666666667,0.0,11.0,1,0,0,0,0,0,0
1648,Drink,4.083333333333333,0.23333333333333334,0.0,1.0,4.0,3.0,0.0,1.0,2.0,1.0,0.0,3.8833333333333333,2.433333333333333,2.5,16.233333333333334,0.95,1.0666666666666667,191.45,0.0,11.233333333333333,1,0,0,0,0,0,0
1649,Drink,4.0,0.2833333333333333,0.0,2.0,4.0,3.0,0.0,1.0,2.0,1.0,0.0,4.166666666666667,2.716666666666667,2.783333333333333,16.516666666666666,0.2833333333333333,1.35,191.73333333333332,0.0,11.516666666666667,1,0,0,0,0,0,0
1650,Exercise,3.5,0.8166666666666667,0.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,4.983333333333333,1.3333333333333333,3.6,17.333333333333332,1.1,2.1666666666666665,192.55,0.0,12.333333333333334,1,0,0,0,0,0,0
1651,Pee,3.5555555555555554,0.5166666666666667,0.0,3.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0166666666666666,1.85,4.116666666666666,17.85,1.6166666666666667,2.683333333333333,193.06666666666666,0.0,12.85,1,0,0,0,0,0,0
1652,Drink,3.6,0.016666666666666666,0.0,3.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,2.033333333333333,1.8666666666666667,4.133333333333334,17.866666666666667,1.35,2.7,193.08333333333334,0.0,12.866666666666667,1,0,0,0,0,0,0
